Date,Set,Order,LayingDate,Age,TofDay,Complete,SUhour,SUmin,SUsec,SUtimehr,SUagehr,Clutch,Tray,ESU,Stimulus,MinTo30y30,TestEggs,PBKhour,PBKmin,PBKsec,PBKtimehr,PBKtimemin,PBKage,FirstHhour,FirstHmin,FirstHsec,FirstHtimehr,FirstHtimemin,FirstHatch(s),FirstHatch(cycles),FirstHatch(s)600,EPPBK,EP3m,PropH,DorsalIMG1,DorsalIMG2,DorsalIMG3,TadLength1,TadLength2,TadLength3
20160704,1,1,20160629,5,5dAM,Y,6,0,45,6.0125,126.0125,C218,1,15,s,3.529411765,9,6,7,0,6.116666667,367,126.1166667,NA,NA,NA,NA,NA,NA,NA,600,9,9,0,4838,4839,4840,1.194,1.239,1.258
20160704,1,2,20160629,5,5dAM,Y,6,21,10,6.352777778,126.3527778,C218,2,14,f,100,13,6,27,0,6.45,387,126.45,6,30,31,6.508611111,390.5166667,3.516666667,351.6666667,3.516666667,12,12,0.076923077,4842,4844,4845,1.227,1.277,1.228
20160704,1,3,20160629,5,5dAM,Y,6,39,10,6.652777778,126.6527778,C220,1,10,c,30,8,6,44,55,6.748611111,404.9166667,126.7486111,6,45,3,6.750833333,405.05,0.133333333,4,0.133333333,1,1,0.875,4846,4847,4850,1.153,1.168,1.171
20160704,2,4,20160629,5,5dAM,Y,6,55,40,6.927777778,126.9277778,C219,4,15,f,100,15,7,2,0,7.033333333,422,127.0333333,7,2,52,7.047777778,422.8666667,0.866666667,86.66666667,0.866666667,9,9,0.4,4854,4855,4857,1.149,1.12,1.103
20160704,2,5,20160629,5,5dAM,Y,7,13,12,7.22,127.22,C219,3,15,c,30,15,7,18,15,7.304166667,438.25,127.3041667,7,18,21,7.305833333,438.35,0.1,3,0.1,0,0,1,4858,4860,4861,1.164,1.102,1.097
20160704,2,6,20160629,5,5dAM,Y,7,24,30,7.408333333,127.4083333,C219,2,15,s,3.529411765,15,7,30,20,7.505555556,450.3333333,127.5055556,NA,NA,NA,NA,NA,NA,NA,600,15,15,0,4862,4866,4867,1.153,1.15,1.173
20160704,3,7,20160629,5,5dAM,Y,7,42,20,7.705555556,127.7055556,C230,1,15,f,100,13,7,49,0,7.816666667,469,127.8166667,7,49,10,7.819444444,469.1666667,0.166666667,16.66666667,0.166666667,12,12,0.076923077,4868,4871,4873,1.097,1.169,1.179
20160704,3,8,20160629,5,5dAM,Y,8,1,50,8.030555556,128.0305556,C223,1,13,s,3.529411765,12,8,6,45,8.1125,486.75,128.1125,8,7,15,8.120833333,487.25,0.5,1.764705882,0.5,9,9,0.25,4874,4878,4879,1.188,1.204,1.197
20160704,3,9,20160629,5,5dAM,Y,8,16,30,8.275,128.275,C223,2,13,c,30,10,8,21,30,8.358333333,501.5,128.3583333,8,21,43,8.361944444,501.7166667,0.216666667,6.5,0.216666667,3,3,0.7,4881,4882,4886,1.08,1.166,1.14
20160704,4,10,20160629,5,5dAM,Y,8,33,35,8.559722222,128.5597222,C221,1,14,c,30,14,8,39,0,8.65,519,128.65,8,39,24,8.656666667,519.4,0.4,12,0.4,10,10,0.285714286,4888,4891,4892,1.165,1.159,1.078
