Date,Age(d),Set,TestOrder,STIMULUS,SetupTime(h),Tray,AlreadyHatchedorRuptured,HatchedinSetup,LessDeveloped,TestEggs,FirstHatch(s),FirstHatch(s)600,CycleLength(s),FirstHatch(cycles),FirstHatch(cycles)600,5minHatch,10minHatch,ProportionHatched,GutCoilStage,T1length,T2length,T3length,MeanLength
20151013,5.2,1,1,LS,3.02,390-2,1,1,0,13,90,90,17,5.294117647,5.294117647,2,2,0.154,NA,10.793,8.124,11.124,10.014
20151013,5.2,1,2,LF,3.35,390,3,0,0,12,79,79,2,39.5,39.5,2,2,0.167,NA,10.514,10.698,11.134,10.782
20151013,5.2,1,3,HF,3.75,370,2,0,0,13,NA,600,2,NA,300,0,0,0.000,NA,10.489,10.527,11.000,10.672
20151013,5.2,2,4,HF,4.08,388-2,1,2,0,12,NA,600,2,NA,300,0,0,0.000,0,10.244,10.768,10.644,10.552
20151013,5.2,2,5,LS,4.45,388,0,0,0,15,67,67,17,3.941176471,3.941176471,3,3,0.200,0,10.655,10.346,11.501,10.834
20151013,5.2,2,6,LF,4.82,383-2,3,0,1,11,24,24,2,12,12,1,2,0.182,1,10.856,11.158,10.323,10.779
20151013,5.2,3,7,LS,5.27,383,1,0,0,14,NA,600,17,NA,35.29411765,0,1,0.071,1,11.511,10.928,10.783,11.074
20151013,5.2,3,8,HF,5.77,389,1,0,0,14,58,58,2,29,29,2,2,0.143,0,10.644,10.825,10.935,10.801
20151013,5.2,3,9,LF,6.08,386,0,0,0,15,34,34,2,17,17,5,5,0.333,0,10.695,10.795,10.368,10.619
20151013,5.2,4,10,HF,6.52,384,0,1,0,14,NA,600,2,NA,300,0,0,0.000,1,10.642,11.125,11.117,10.961
20151013,5.2,4,11,LS,6.90,384-2,0,0,1,14,210,210,17,12.35294118,12.35294118,1,1,0.071,1,10.290,11.138,10.864,10.764
20151013,5.2,4,12,LF,7.28,380,0,1,0,14,59,59,2,29.5,29.5,1,1,0.071,1,11.380,11.399,11.599,11.459
20151017,5.2,5,28,LS,4.95,397,0,1,0,14,NA,600,17,NA,35.29411765,0,0,0.000,0,10.566,10.595,11.527,10.896
20151017,5.2,5,29,LF,5.33,395-2,2,1,0,12,19,19,2,9.5,9.5,10,10,0.833,1,11.172,11.290,11.772,11.411
20151017,5.2,5,30,HF,5.70,395,0,1,0,14,160,160,2,80,80,1,2,0.143,1,11.011,11.379,11.069,11.153
20151017,5.2,6,31,HF,6.08,399-2,1,0,0,14,123,123,2,61.5,61.5,1,1,0.071,2,11.686,11.496,11.550,11.577
20151017,5.2,6,32,LF,6.45,399,1,0,0,14,25,25,2,12.5,12.5,8,8,0.571,2,11.425,11.897,11.649,11.657
20151017,5.2,6,33,LS,6.83,399-4,0,2,0,13,27,27,17,1.588235294,1.588235294,2,2,0.154,1,10.782,11.558,11.944,11.428
20151022,5.2,7,46,LS,4.17,409,0,0,0,15,NA,600,17,NA,35.29411765,0,0,0.000,2,11.512,11.287,10.974,11.258
20151022,5.2,7,47,HF,4.58,407,0,0,1,14,420,420,2,210,210,0,1,0.071,2,10.745,11.308,11.236,11.096
20151022,5.2,7,48,LF,4.95,407-2,1,2,0,12,120,120,2,60,60,4,5,0.417,2,11.365,11.634,11.725,11.575
20151022,5.2,8,49,HF,5.32,408,0,0,0,15,251,251,2,125.5,125.5,1,1,0.067,1,11.092,11.463,11.441,11.332
20151022,5.2,8,50,LF,5.62,408-2,0,2,0,13,24,24,2,12,12,5,4,0.308,2,11.189,11.463,11.961,11.538
20151022,5.2,8,51,LS,6.00,408-3,0,3,0,12,64,64,17,3.764705882,3.764705882,3,3,0.250,2,11.744,11.388,10.945,11.359
20151022,5.2,9,52,LF,6.37,404-3,1,0,0,14,26,26,2,13,13,7,7,0.500,1,10.896,10.996,11.235,11.042
20151022,5.2,9,53,LS,6.72,404-2,0,3,0,12,237,237,17,13.94117647,13.94117647,1,1,0.083,1,10.981,11.718,11.300,11.333
20151022,5.2,9,54,HF,7.05,404,0,0,0,15,45,45,2,22.5,22.5,1,2,0.133,2,12.423,11.836,11.729,11.996
20151025,5.2,10,58,LS,3.57,414,0,0,0,15,NA,600,17,NA,35.29411765,0,0,0.000,NA,10.476,10.205,10.418,10.366
20151025,5.2,10,59,LF,3.93,414-2,0,0,0,15,NA,600,2,NA,300,0,0,0.000,1,10.069,10.653,10.517,10.413
20151025,5.2,10,60,HF,4.57,420/22,0,0,0,15,NA,600,2,NA,300,0,0,0.000,1,10.834,10.697,9.886,10.472
20151025,5.2,12,64,LS,5.92,421,0,0,0,15,NA,600,17,NA,35.29411765,0,0,0.000,2,10.336,10.294,10.559,10.396
20151025,5.2,12,65,LF,6.27,421-2,0,0,0,15,NA,600,2,NA,300,0,0,0.000,2,10.701,10.753,10.694,10.716
20151025,5.2,12,66,HF,6.58,418,0,0,0,15,NA,600,2,NA,300,0,0,0.000,1,11.118,11.165,11.316,11.200
20151025,5.2,13,67,LS,6.92,417/19,0,3,0,12,124,124,17,7.294117647,7.294117647,1,2,0.167,1,11.169,11.369,11.447,11.328
20151025,5.2,13,68,LF,7.25,417,0,3,0,12,11,11,2,5.5,5.5,6,6,0.500,1,11.052,11.280,11.265,11.199
20151025,5.2,13,69,HF,7.55,419,0,0,2,13,231,231,2,115.5,115.5,1,1,0.077,1,11.935,12.104,11.664,11.901
20151026,5.2,14,73,LF,6.15,433-2,0,7,0,8,13,13,2,6.5,6.5,8,8,1.000,2,11.170,10.932,na,11.051
20151026,5.2,14,74,HF,6.33,424,1,2,0,12,45,45,2,22.5,22.5,1,1,0.083,2,11.759,11.447,10.376,11.194
20151026,5.2,14,75,LS,6.67,429/31,1,0,0,14,69,69,17,4.058823529,4.058823529,2,2,0.143,2,11.318,10.778,11.958,11.351
20151013,5.7,1,13,LF,14.97,380-2,3,3,0,9,34,34,2,17,17,3,4,0.444,2,11.541,11.752,11.742,11.678
20151013,5.7,1,14,LS,15.37,382,1,0,0,14,14,14,17,0.823529412,0.823529412,10,10,0.714,1,11.374,10.959,11.068,11.134
20151013,5.7,1,15,HF,15.70,382-2,1,0,0,14,25,25,2,12.5,12.5,3,3,0.214,1,10.965,11.529,11.247,11.247
20151013,5.7,2,16,HF,16.03,376,0,5,0,10,95,95,2,47.5,47.5,4,4,0.400,3,11.805,11.942,11.409,11.719
20151013,5.7,2,17,LF,16.37,376-2,1,4,0,10,12,12,2,6,6,10,10,1.000,3,11.812,11.654,11.380,11.615
20151013,5.7,2,18,LS,16.55,385,1,1,0,13,32,32,17,1.882352941,1.882352941,12,12,0.923,2,11.650,11.994,11.400,11.681
20151013,5.7,3,19,LS,16.92,377-2,0,5,0,10,45,45,17,2.647058824,2.647058824,2,2,0.200,2,11.985,11.949,11.872,11.935
20151013,5.7,3,20,HF,17.27,377,1,2,1,11,27,27,2,13.5,13.5,2,3,0.273,3,11.264,12.146,11.621,11.677
20151013,5.7,3,21,LF,17.60,381,1,0,0,14,30,30,2,15,15,6,6,0.429,2,10.620,11.074,11.058,10.917
20151013,5.7,4,22,HF,17.98,375,1,0,0,14,36,36,2,18,18,2,3,0.214,3,12.301,11.935,11.546,11.927
20151013,5.7,4,23,LF,18.40,375-2,0,3,0,12,15,15,2,7.5,7.5,10,10,0.833,3,11.966,12.200,12.140,12.102
20151013,5.7,4,24,LS,18.73,378,0,3,0,12,29,29,17,1.705882353,1.705882353,12,12,1.000,3,11.350,11.885,11.840,11.692
20151013,5.7,5,25,HF,19.05,371-2,2,2,0,11,NA,600,2,NA,300,0,0,0.000,3,10.365,11.467,11.520,11.117
20151013,5.7,5,26,LS,19.42,381-2,1,1,0,13,NA,600,17,NA,35.29411765,0,0,0.000,2,10.653,10.679,10.795,10.709
20151013,5.7,5,27,LF,19.75,379,1,1,0,13,21,21,2,10.5,10.5,5,5,0.385,2,11.701,11.160,11.561,11.474
20151017,5.7,6,34,HF,15.00,402-2,0,1,0,14,NA,600,2,NA,300,0,0,0.000,3,12.277,11.797,11.491,11.855
20151017,5.7,6,35,LS,15.33,402,0,0,0,15,70,70,17,4.117647059,4.117647059,1,1,0.067,3,11.697,11.814,11.638,11.716
20151017,5.7,6,36,LF,15.67,402-3,0,1,0,14,17,17,2,8.5,8.5,6,6,0.429,3,11.603,11.867,11.396,11.622
20151017,5.7,7,37,LS,16.00,394-3,2,2,0,11,34,34,17,2,2,4,4,0.364,3,12.120,11.521,11.911,11.851
20151017,5.7,7,38,HF,16.33,394,1,5,0,9,NA,600,2,NA,300,0,0,0.000,3,11.721,10.538,11.998,11.419
20151017,5.7,7,39,LF,16.68,394-2,0,5,0,10,23,23,2,11.5,11.5,5,6,0.600,3,10.615,11.720,11.499,11.278
20151017,5.7,8,40,LF,17.07,398-2,1,0,0,14,16,16,2,8,8,6,6,0.429,2,11.558,11.714,11.822,11.698
20151017,5.7,8,41,HF,17.43,398,2,0,1,12,NA,600,2,NA,300,0,0,0.000,3,12.128,12.133,11.944,12.068
20151017,5.7,8,42,LS,17.78,400,1,0,0,14,25,25,17,1.470588235,1.470588235,11,11,0.786,3,12.347,11.710,11.647,11.901
20151017,5.7,9,43,LS,18.12,396-2,2,4,0,9,13,13,17,0.764705882,0.764705882,9,9,1.000,3,12.076,12.929,12.073,12.359
20151017,5.7,9,44,HF,18.30,400-2,1,4,1,9,20,20,2,10,10,1,1,0.111,3,11.324,11.764,11.158,11.415
20151017,5.7,9,45,LF,18.65,396,0,1,1,13,13,13,2,6.5,6.5,9,10,0.769,3,11.445,12.078,11.564,11.696
20151022,5.7,10,55,LF,16.35,413,0,1,0,14,24,24,2,12,12,8,8,0.571,3,11.098,11.780,10.726,11.201
20151022,5.7,10,56,LS,16.67,412,0,1,2,12,23,23,17,1.352941176,1.352941176,5,5,0.417,NA,11.475,10.986,11.898,11.453
20151022,5.7,10,57,HF,17.08,410,1,6,0,8,20,20,2,10,10,2,2,0.250,NA,11.816,12.400,12.407,12.208
20151025,5.7,11,70,LF,16.78,417-2,1,6,0,8,11,11,2,5.5,5.5,8,8,1.000,NA,11.612,12.048,11.532,11.731
20151025,5.7,11,71,LS,16.92,422-2,0,7,0,8,9,9,17,0.529411765,0.529411765,6,7,0.875,3,11.587,11.995,11.361,11.648
20151025,5.7,11,72,HF,17.23,422,1,3,0,11,25,25,2,12.5,12.5,7,7,0.636,3,11.644,11.853,11.543,11.680
20151026,5.7,12,76,LS,15.40,428,1,2,0,12,36,36,17,2.117647059,2.117647059,2,2,0.167,3,12.707,12.127,12.139,12.324
20151026,5.7,12,77,LF,15.70,424-2,1,4,0,10,18,18,2,9,9,7,7,0.700,3,11.817,11.654,11.891,11.787
20151026,5.7,12,78,HF,16.02,432,1,3,0,11,39,39,2,19.5,19.5,1,1,0.091,3,11.969,12.178,11.683,11.943
20151026,5.7,13,79,HF,16.35,429-2,2,2,1,10,27,27,2,13.5,13.5,5,6,0.600,3,11.401,11.800,11.420,11.540
20151026,5.7,13,80,LF,16.67,429,0,4,0,11,16,16,2,8,8,11,11,1.000,3,11.603,11.897,12.335,11.945
20151026,5.7,13,81,LS,16.87,427,1,3,0,11,76,76,17,4.470588235,4.470588235,7,7,0.636,NA,11.813,10.783,11.516,11.371
20151026,5.7,14,82,LS,17.17,425,1,3,1,10,18,18,17,1.058823529,1.058823529,10,10,1.000,3,11.308,10.884,11.485,11.226
20151026,5.7,14,83,HF,17.42,426-2,1,2,0,12,26,26,2,13,13,1,2,0.167,3,12.154,11.631,11.849,11.878
20151026,5.7,14,84,LF,17.75,426,3,3,0,9,11,11,2,5.5,5.5,7,7,0.778,3,11.560,11.377,11.778,11.572
